sweep_param,outcome,swept_arm,arm,estimator,sweep_value,power,arm_soc_outcome_ate_pct,arm_env_outcome_ate,scenario_soc_outcome_ate_pct,is_swept
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.05,1,1.05,10,1.05,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.1,1,1.1,10,1.1,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.1500000000000001,1,1.1500000000000001,10,1.1500000000000001,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.2000000000000002,1,1.2000000000000002,10,1.2000000000000002,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.25,1,1.25,10,1.25,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.3,1,1.3,10,1.3,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.35,1,1.35,10,1.35,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,ITT,1.4,1,1.4,10,1.4,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.05,1,1.05,10,1.05,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.1,1,1.1,10,1.1,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.1500000000000001,1,1.1500000000000001,10,1.1500000000000001,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.2000000000000002,1,1.2000000000000002,10,1.2000000000000002,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.25,1,1.25,10,1.25,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.3,1,1.3,10,1.3,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.35,1,1.35,10,1.35,TRUE
soc_outcome_ate_pct_single,env_outcome,T1,T1,TOT,1.4,1,1.4,10,1.4,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.05,0.71,1.05,10,1.05,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.1,0.7233333333333334,1.1,10,1.1,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.1500000000000001,0.74,1.1500000000000001,10,1.1500000000000001,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.2000000000000002,0.7633333333333333,1.2000000000000002,10,1.2000000000000002,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.25,0.8,1.25,10,1.25,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.3,0.77,1.3,10,1.3,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.35,0.82,1.35,10,1.35,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,ITT,1.4,0.82,1.4,10,1.4,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.05,0.71,1.05,10,1.05,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.1,0.7266666666666667,1.1,10,1.1,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.1500000000000001,0.7433333333333333,1.1500000000000001,10,1.1500000000000001,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.2000000000000002,0.7733333333333333,1.2000000000000002,10,1.2000000000000002,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.25,0.81,1.25,10,1.25,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.3,0.7733333333333333,1.3,10,1.3,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.35,0.82,1.35,10,1.35,TRUE
soc_outcome_ate_pct_single,soc_outcome,T1,T1,TOT,1.4,0.82,1.4,10,1.4,TRUE
