community_id,year_in_program,ngo_id,tribe_id,N_indiv,time,arm,tau_strata,D,u_comm_p,e_ar,Y,outcome,u_comm_v
1,1,3,5,93,1,T1,-1.1147202845766349,1,-0.18092228818991954,1.7441559320665083,93,soc_outcome,NA
1,1,3,5,93,6,T1,-1.1147202845766349,1,-0.18092228818991954,-0.8186366837983764,3,soc_outcome,NA
1,1,3,5,93,12,T1,-1.1147202845766349,1,-0.18092228818991954,-0.49181586264499466,9,soc_outcome,NA
2,2,4,3,96,1,control,-0.059182666781871285,0,-0.11521228751748296,0.5956666071244383,62,soc_outcome,NA
2,2,4,3,96,6,control,-0.059182666781871285,0,-0.11521228751748296,0.47985150462675497,42,soc_outcome,NA
2,2,4,3,96,12,control,-0.059182666781871285,0,-0.11521228751748296,-0.32085573878949414,9,soc_outcome,NA
3,1,5,1,112,1,T1,-1.951713923668843,1,0.3432198564876847,-0.719364536921016,2,soc_outcome,NA
3,1,5,1,112,6,T1,-1.951713923668843,1,0.3432198564876847,-0.04171315686656435,14,soc_outcome,NA
3,1,5,1,112,12,T1,-1.951713923668843,1,0.3432198564876847,-0.018459500244875023,4,soc_outcome,NA
4,3,5,2,104,1,control,-0.026023363878383943,0,-0.2609153447686789,-1.2920241921514977,5,soc_outcome,NA
4,3,5,2,104,6,control,-0.026023363878383943,0,-0.2609153447686789,-0.23397354456272185,40,soc_outcome,NA
4,3,5,2,104,12,control,-0.026023363878383943,0,-0.2609153447686789,0.08771843730084977,20,soc_outcome,NA
5,2,5,2,104,1,control,-1.1587155563241587,0,-0.041077252925427375,0.12609791534932355,39,soc_outcome,NA
5,2,5,2,104,6,control,-1.1587155563241587,0,-0.041077252925427375,-0.7207901220218681,27,soc_outcome,NA
5,2,5,2,104,12,control,-1.1587155563241587,0,-0.041077252925427375,0.19251904543199702,55,soc_outcome,NA
6,1,6,5,101,1,control,-1.45700882477783,0,0.43643173340780983,0.9948972990695704,138,soc_outcome,NA
6,1,6,5,101,6,control,-1.45700882477783,0,0.43643173340780983,0.5215873143265193,78,soc_outcome,NA
6,1,6,5,101,12,control,-1.45700882477783,0,0.43643173340780983,-0.698664845173653,33,soc_outcome,NA
7,2,1,3,94,1,control,-0.9290169251724931,0,-0.0231652274202044,-0.31440003633357794,23,soc_outcome,NA
7,2,1,3,94,6,control,-0.9290169251724931,0,-0.0231652274202044,0.18185220911284872,39,soc_outcome,NA
7,2,1,3,94,12,control,-0.9290169251724931,0,-0.0231652274202044,-0.42115991181970897,45,soc_outcome,NA
8,1,4,2,118,1,control,-0.4758708609004529,0,-0.31196885301424626,-1.5571471146103355,1,soc_outcome,NA
8,1,4,2,118,6,control,-0.4758708609004529,0,-0.31196885301424626,0.31383032818964496,18,soc_outcome,NA
8,1,4,2,118,12,control,-0.4758708609004529,0,-0.31196885301424626,-0.5237631783841892,12,soc_outcome,NA
9,2,5,1,105,1,control,-1.9606388118397362,0,-0.1525085678481179,-0.4139314706900892,19,soc_outcome,NA
